restaurant_name,food_item,description,price,special_price,special_from,,,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ARAFA CHICKEN PARK,Prawn Chilly,,319,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,7
ARAFA CHICKEN PARK,Prawn 65,,352,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,8
ARAFA CHICKEN PARK,Crab Masala,,286,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,9
ARAFA CHICKEN PARK,Coco Prawn,Cooked with Coconut Milk,352,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Food,,0,,8,10
ARAFA CHICKEN PARK,Tandoori Naan 1 Pc,No Gravy will be provided,55,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,1
ARAFA CHICKEN PARK,Butter Naan 1 Pc,No Gravy will be provided,66,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,2
ARAFA CHICKEN PARK,Garlic Naan 1 Pc,No Gravy will be provided,77,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,3
ARAFA CHICKEN PARK,Cheese Naan 1 Pc,No Gravy will be provided,99,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,4
ARAFA CHICKEN PARK,Garlic Cheese Naan 1 Pc,No Gravy will be provided,99,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,5
ARAFA CHICKEN PARK,Folding Naan 1 Pc,No Gravy will be provided,77,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,6
ARAFA CHICKEN PARK,Kulcha 1 Pc,No Gravy will be provided,88,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,7
ARAFA CHICKEN PARK,Wheat Naan 1 Pc,No Gravy will be provided,66,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,8
ARAFA CHICKEN PARK,Wheat Butter Naan 1 Pc,No Gravy will be provided,77,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,9
ARAFA CHICKEN PARK,Wheat Rotti 1 Pc,No Gravy will be provided,55,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,10
ARAFA CHICKEN PARK,Wheat Butter Rotti 1 Pc,No Gravy will be provided,77,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,11
ARAFA CHICKEN PARK,Wheat Garlic Naan 1 Pc,No Gravy will be provided,88,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,12
ARAFA CHICKEN PARK,Wheat Cheese Naan 1 Pc,No Gravy will be provided,99,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,13
ARAFA CHICKEN PARK,Wheat Garlic Cheese Naan 1 Pc,No Gravy will be provided,110,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Naan & Rotti,,0,,9,14
ARAFA CHICKEN PARK,Naan Egg Kothu (Maida),,187,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,1
ARAFA CHICKEN PARK,Naan Chicken Kothu (Maida),,209,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,2
ARAFA CHICKEN PARK,Naan Mutton Kothu (Maida),,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,3
ARAFA CHICKEN PARK,Naan Egg Kothu (Wheat),,198,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,4
ARAFA CHICKEN PARK,Naan Chicken Kothu (Wheat ),,220,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,5
ARAFA CHICKEN PARK,Naan Mutton Kothu (Wheat),,275,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,6
ARAFA CHICKEN PARK,Naan Veg Kothu (Maida),,176,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,7
ARAFA CHICKEN PARK,Naan Panner Veg Kothu (Maida),,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,8
ARAFA CHICKEN PARK,Naan Veg Kothu (Wheat),,187,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,9
ARAFA CHICKEN PARK,Naan Panner Veg Kothu (Wheat),,220,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naan Kothu ,,0,,10,10
ARAFA CHICKEN PARK,Parotta 1 Pc,No gravy will be provided,38.5,,,,,,0,0,Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,1
ARAFA CHICKEN PARK,Bun Parotta 1 Pc,No gravy will be provided,38.5,,,,,,0,0,Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,2
ARAFA CHICKEN PARK,Nool Parotta 1 Pc,No gravy will be provided,38.5,,,,,,0,0,Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,3
ARAFA CHICKEN PARK,Banana Parotta ,No gravy will be provided,132,,,,,,0,0,Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,4
ARAFA CHICKEN PARK,Pineapple Parotta,No gravy will be provided,132,,,,,,0,0,Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,5
ARAFA CHICKEN PARK,Spring Onion Parotta,No gravy will be provided,132,,,,,,0,0,Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,6
ARAFA CHICKEN PARK,Malaysian Chicken Parotta,No gravy will be provided,165,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,7
ARAFA CHICKEN PARK,Egg Kothu Parotta,No gravy will be provided,187,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,8
ARAFA CHICKEN PARK,Mutton Kothu Parotta,No gravy will be provided,264,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,9
ARAFA CHICKEN PARK,Chicken Kothu Parotta,No gravy will be provided,209,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,10
ARAFA CHICKEN PARK,Banana Leaf Parotta Chicken,No gravy will be provided,198,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,11
ARAFA CHICKEN PARK,Chicken Park Spl Parotta Kuruma (without Meat),No gravy will be provided,132,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Parotta Varieties,,0,,11,12
ARAFA CHICKEN PARK,Madurai Chicken Kari Dosa,,198,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Kari Dosai,,0,,12,1
ARAFA CHICKEN PARK,Madurai Mutton Kari Dosa,,264,,,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,"1,2,3,4,5,6,7",1,,1,,Kari Dosai,,0,,12,2
ARAFA CHICKEN PARK,Chilly Chicken Gravy,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,1
ARAFA CHICKEN PARK,Ginger Chicken Gravy,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,2
ARAFA CHICKEN PARK,Garlic Chicken Gravy,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,3
ARAFA CHICKEN PARK,Chicken Manchurian,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,4
ARAFA CHICKEN PARK,Butter Chicken Gravy,Low Spicy,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,5
ARAFA CHICKEN PARK,Kadai Chicken Gravy,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,6
ARAFA CHICKEN PARK,Pepper Chicken Gravy,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,7
ARAFA CHICKEN PARK,Chicken Tikka Masala,,264,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,8
ARAFA CHICKEN PARK,Chicken Chettinadu Masala,,308,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,9
ARAFA CHICKEN PARK,Japan Chicken Gravy,Low Spicy,352,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,10
ARAFA CHICKEN PARK,Coco Chicken Gravy,"Low Spicy, Cooked with Coconut Milk",352,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,13,11
ARAFA CHICKEN PARK,Mutton Masala,,374,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravy,,0,,14,1
ARAFA CHICKEN PARK,Mutton Rogen Josh,,374,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravy,,0,,14,2
ARAFA CHICKEN PARK,Mutton Pepper Fry,,374,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Gravy,,0,,14,3
ARAFA CHICKEN PARK,Green Peas Masala,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,1
ARAFA CHICKEN PARK,Mutter Paneer Masala,,264,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,2
ARAFA CHICKEN PARK,Paneer Butter Masala,,264,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,3
ARAFA CHICKEN PARK,Paneer Pepper Masala,,264,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,4
ARAFA CHICKEN PARK,Paneer Tikka Masala,,264,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,5
ARAFA CHICKEN PARK,Paneer Manchurian,,264,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,6
ARAFA CHICKEN PARK,Chilly Paneer,,264,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,7
ARAFA CHICKEN PARK,Dragon Paneer,,308,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,8
ARAFA CHICKEN PARK,Coco Paneer,Coooked with Coconut Milk,308,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,9
ARAFA CHICKEN PARK,Gobi Manchurian,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,10
ARAFA CHICKEN PARK,Chilly Gobi,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,11
ARAFA CHICKEN PARK,Aloo Gobi,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,12
ARAFA CHICKEN PARK,Chilli Mushroom,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,13
ARAFA CHICKEN PARK,Mushroom Manchurian,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,14
ARAFA CHICKEN PARK,Mushroom Pepper Fry,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,15
ARAFA CHICKEN PARK,Mushroom Chettinad,,242,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,16
ARAFA CHICKEN PARK,Coco Mushroom,Coooked with Coconut Milk,308,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,17
ARAFA CHICKEN PARK,Baby Corn Chilly,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,18
ARAFA CHICKEN PARK,Baby Corn Pepper Fry,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,15,19
