restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Kaadai Roast Dry,,170,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai Starters,,0,,10,2
DINDIGUL VELU BRIYANI,Kaadai 65 Dry,,170,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai Starters,,0,,10,3
DINDIGUL VELU BRIYANI,Kaadai Pepper Fry Dry,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai Starters,,0,,10,4
DINDIGUL VELU BRIYANI,Chicken Sukka Dry,,160,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,1
DINDIGUL VELU BRIYANI,Chicken Kothu Kari,,180,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,2
DINDIGUL VELU BRIYANI,Chicken Pallipalayam Dry,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,3
DINDIGUL VELU BRIYANI,Chicken Chinthamani,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,4
DINDIGUL VELU BRIYANI,Chicken 65,,180,,,9,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,5
DINDIGUL VELU BRIYANI,Chicken Lollypop 2 Pcs,,110,,,5.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,6
DINDIGUL VELU BRIYANI,Chicken Lolliypop 4 Pcs,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,7
DINDIGUL VELU BRIYANI,Chicken Lolliypop Saucy 4 Pcs,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,8
DINDIGUL VELU BRIYANI,Chicken Oil Kebab (1Pc),,100,,,5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,9
DINDIGUL VELU BRIYANI,Chicken Manchuriyan Dry,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,10
DINDIGUL VELU BRIYANI,Chilly Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,11
DINDIGUL VELU BRIYANI,Chicken Wings Pepper Fry,,200,,,10,Non Veg,11:30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,12
DINDIGUL VELU BRIYANI,Chicken Leg Pepper (2Pcs),,230,,,11.5,Non Veg,11:30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,13
DINDIGUL VELU BRIYANI,Black Pepper Chicken (2pcs),,230,,,11.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,14
DINDIGUL VELU BRIYANI,Hot Pepper Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,15
DINDIGUL VELU BRIYANI,Pepper Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,16
DINDIGUL VELU BRIYANI,Garlic Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,17
DINDIGUL VELU BRIYANI,Ginger Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,18
DINDIGUL VELU BRIYANI,Lemon Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,19
DINDIGUL VELU BRIYANI,Mangolian Chicken,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,20
DINDIGUL VELU BRIYANI,Dragon Chicken,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,21
DINDIGUL VELU BRIYANI,Onion Fry Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,22
DINDIGUL VELU BRIYANI,Schezwan Chicken,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,11,23
DINDIGUL VELU BRIYANI,Grill Chicken Quarter,,130,,,6.5,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Grills,,0,,12,1
DINDIGUL VELU BRIYANI,Grill Chicken Half,,230,,,11.5,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Grills,,0,,12,2
DINDIGUL VELU BRIYANI,Grill Chicken Full,,440,,,22,Non Veg,,,,,01:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Grills,,0,,12,3
DINDIGUL VELU BRIYANI,Tandoori Chicken Quarter,,130,,,6.5,Non Veg,,,,,12:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,1
DINDIGUL VELU BRIYANI,Tandoori Chicken Half,,230,,,11.5,Non Veg,,,,,12:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,2
DINDIGUL VELU BRIYANI,Tandoori Chicken Full,,440,,,22,Non Veg,,,,,12:00PM,11:00PM,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,3
DINDIGUL VELU BRIYANI,Tandoori Kebab,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,4
DINDIGUL VELU BRIYANI,Reshmi Kebab,,240,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,5
DINDIGUL VELU BRIYANI,Garlic Kebab,,240,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,6
DINDIGUL VELU BRIYANI,Hariyali Kebab,,240,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,7
DINDIGUL VELU BRIYANI,Malai Tikka,,240,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,8
DINDIGUL VELU BRIYANI,Chicken Tikka,,240,,,12,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,9
DINDIGUL VELU BRIYANI,Tangri Kebab,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandooris,,0,,13,10
DINDIGUL VELU BRIYANI,Egg Masala,,120,,,6,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,1
DINDIGUL VELU BRIYANI,Egg Burji Masala,,120,,,6,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,2
DINDIGUL VELU BRIYANI,Podimass,,30,,,1.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,3
DINDIGUL VELU BRIYANI,Omlette,,25,,,1.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,4
DINDIGUL VELU BRIYANI,One Side Omlette,,25,,,1.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,5
DINDIGUL VELU BRIYANI,Karandi Omlette,,30,,,1.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,6
DINDIGUL VELU BRIYANI,Plain Omlette,,25,,,1.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,7
DINDIGUL VELU BRIYANI,Full  Boiled,,25,,,1.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,8
DINDIGUL VELU BRIYANI,Kalakki,,25,,,1.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,9
DINDIGUL VELU BRIYANI,Boiled Egg,,15,,,0.75,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,14,10
DINDIGUL VELU BRIYANI,Nethily Fry,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,1
DINDIGUL VELU BRIYANI,Fish 65,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,2
DINDIGUL VELU BRIYANI,Fish Fingers,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,3
DINDIGUL VELU BRIYANI,Fish Manchurian,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,4
DINDIGUL VELU BRIYANI,Fish Poriyal,,200,,,10,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,5
